name,pass_1
SayGoodDay_0,1.0
SayGoodDay_1,1.0
SayGoodDay_2,1.0
SayGoodDay_3,1.0
SayGoodDay_4,1.0
MailDelivery_0,0.0
MailDelivery_1,0.0
MailDelivery_2,0.0
MailDelivery_3,0.0
MailDelivery_4,0.0
HalloweenShopping_0,1.0
HalloweenShopping_1,0.0
HalloweenShopping_2,0.0
HalloweenShopping_3,0.0
HalloweenShopping_4,0.0
WeatherPoll_0,0.0
WeatherPoll_1,0.0
WeatherPoll_2,0.0
WeatherPoll_3,0.0
WeatherPoll_4,0.0
LunchTime_0,0.0
LunchTime_1,0.0
LunchTime_2,0.0
LunchTime_3,0.0
LunchTime_4,0.0
ElevatorTour_0,0.0
ElevatorTour_1,0.0
ElevatorTour_2,0.0
ElevatorTour_3,0.0
ElevatorTour_4,0.0
FindBackpack_0,0.0
FindBackpack_1,0.0
FindBackpack_2,0.0
FindBackpack_3,0.0
FindBackpack_4,0.0
GetDrink_0,1.0
GetDrink_1,0.0
GetDrink_2,1.0
GetDrink_3,0.0
GetDrink_4,0.0
GrilledCheese_0,0.0
GrilledCheese_1,0.0
GrilledCheese_2,0.0
GrilledCheese_3,0.0
GrilledCheese_4,0.0
HalloweenList_0,1.0
HalloweenList_1,1.0
HalloweenList_2,0.0
HalloweenList_3,0.0
HalloweenList_4,1.0
StaplerDelivery_0,0.0
StaplerDelivery_1,1.0
StaplerDelivery_2,0.0
StaplerDelivery_3,1.0
StaplerDelivery_4,0.0
CountSavory_0,0.0
CountSavory_1,0.0
CountSavory_2,0.0
CountSavory_3,1.0
CountSavory_4,0.0
LunchBreak_0,0.0
LunchBreak_1,0.0
LunchBreak_2,0.0
LunchBreak_3,0.0
LunchBreak_4,0.0
StaplerSupply_0,0.0
StaplerSupply_1,0.0
StaplerSupply_2,0.0
StaplerSupply_3,0.0
StaplerSupply_4,0.0
MovieMessenger_0,0.0
MovieMessenger_1,0.0
MovieMessenger_2,0.0
MovieMessenger_3,0.0
MovieMessenger_4,0.0
SetTemperature_0,0.0
SetTemperature_1,0.0
SetTemperature_2,0.0
SetTemperature_3,0.0
SetTemperature_4,0.0
